"student","course","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"cwscott3","CSC226-001-STADDON-S16",-2.95259619693649,2.35581032245531,1.8928985295933,-0.335069260131145,-1.99624807522538,0.570978440034251,-0.615179245118462,0.959845577456668
"ccolgla","CSC226-001-STADDON-S16",1.550055009856,2.10959879373098,-1.21209174569983,-0.114630610377688,-0.829414585216742,0.672681789831429,0.0575346432371698,-0.198274386934696
"aliman","CSC226-001-STADDON-S16",-0.645967716223365,0.99009817155886,-1.85338604678649,-2.45820185204873,1.23490818393922,-0.673856172676743,-0.148529527498674,-0.510631742635422
"dmpage","CSC226-001-STADDON-S16",5.0815523611571,1.0058664067587,-0.469423169307334,0.398851500661114,-1.74279736018245,-0.795620196683966,-0.246747225672822,-0.249263387747173
"mtrichar","CSC226-001-STADDON-S16",4.63840267535031,1.1406900470184,-0.805799622317599,-1.7236984290005,-2.17399020089944,0.102533271178509,-0.0818501997991182,0.0402205928109213
"znmarten","CSC226-001-STADDON-S16",-6.96956306470141,-0.519369864489917,-4.80178108863104,-0.528720174913587,0.0408137133376236,-0.316574846808882,0.426842240799324,-0.230386479514593
"psbrown2","CSC226-001-STADDON-S16",-1.97675063328052,-4.66352356301457,0.145200540980879,-0.873750206702034,-0.0160658405918693,-0.601238989804092,-0.153896634076367,-0.400969340334734
"cedavi11","CSC226-001-STADDON-S16",2.1413380869082,0.590664860712393,-0.533587525448292,-0.717573777950951,0.47930597436065,-0.347433211542899,0.472669039804402,0.505812146541154
"jmjarrie","CSC226-001-STADDON-S16",4.48568552368047,-2.10390712690408,0.432091422480578,1.51862440019575,-1.66212685113839,-1.17222878594813,-0.592862659455764,-0.282749658590582
"smadapu","CSC226-001-STADDON-S16",0.249544713509699,-0.232489453763517,-0.400281754439216,-0.312755338034283,0.180612916896197,0.393617089192095,-0.406846248918816,0.592521436235368
"jtdreman","CSC226-001-STADDON-S16",4.49495696255862,1.41665508778769,-0.479086754948142,0.611813908896582,-1.14798703901658,-0.0952587449171401,0.286792762535501,-0.750437790062616
"miquaint","CSC226-001-STADDON-S16",2.92082061779459,1.00426791832677,-0.25833713211972,0.875239120681564,0.621276086525129,-0.281989970542501,-0.546080404018343,-0.418246234289749
"nlhartze","CSC226-001-STADDON-S16",-2.19526205905665,2.10417721522077,3.28766626950111,-1.05861505144095,-0.712611798738153,-0.688655573759805,0.287303897178724,-0.421256907631619
"sxue2","CSC226-001-STADDON-S16",2.6623879568462,-0.301457494768632,-0.511222944139617,0.00887776921465061,0.601019915743936,-1.22340978973662,-0.260228749063091,-0.419811809455106
"jlsimps4","CSC226-001-STADDON-S16",2.49621889613233,1.1368360787032,0.291694924028843,0.144672838035649,-2.3152073379711,0.997951977906792,1.31032690172801,-1.05881687425886
"aatavenn","CSC226-001-STADDON-S16",0.593726193523435,1.66774100140295,1.27607276234388,-0.448365881094343,1.54368669185886,-0.00569822389522338,0.69031562414908,0.709203745571005
"jgibbs2","CSC226-001-STADDON-S16",-0.546837634642352,-0.749292263868475,2.16278355161996,0.136349107511374,0.711165930607823,0.275838874560503,0.552962216699107,-0.265467654608811
"dbmclaur","CSC226-001-STADDON-S16",-2.02574731547907,-1.38102016509395,1.51563145150415,-1.00058501311236,0.425567477173819,-1.3295494807647,-0.237790281332855,1.85849443508368
"sastump","CSC226-001-STADDON-S16",-4.27140064456428,2.98405405819724,0.469387089679471,0.740402940178464,-2.30631937476814,0.876810806251331,-1.26612894329908,1.58965261313601
"rtvandyk","CSC226-001-STADDON-S16",1.68005546726042,0.743108644209475,0.418138841871569,1.58359515874582,1.4765294730866,-0.340944891270289,-0.841116427968361,0.327012757873565
"jlcason","CSC226-001-STADDON-S16",1.65741636515997,-1.18835904600256,-1.53728473755149,1.02206022035329,-0.812696745562478,0.898261176883141,0.251064540590738,-2.00403766619584
"dabarcen","CSC226-001-STADDON-S16",3.00139605286881,2.25350656696465,0.0270358168947751,0.437634791349,1.16073607143209,-0.00429927731940696,-0.78094735371527,-0.385969637127202
"aepeck","CSC226-001-STADDON-S16",-1.98836182605049,2.9994905085977,-1.29565468929846,-0.023179815029119,-1.53903954511652,0.313761399652012,0.462089591506602,-1.29902080518593
"bjforema","CSC226-001-STADDON-S16",-10.8963253374928,1.65663952334744,0.156395973582754,-1.42721491640688,-2.70688249629264,-4.41582420661314,3.59735847226828,-2.00173031651916
"asatish","CSC226-001-STADDON-S16",3.71871170430576,1.33169400963926,0.333549757134417,-0.973928696826652,-1.21874577973131,0.620818575986089,0.58617429769806,0.20653033892233
"aakkian","CSC226-001-STADDON-S16",-5.98232689403266,-2.83586074176735,-2.92178862059551,3.75204869541132,2.01102998159788,2.29538996867396,-3.17531993111048,1.90040901720346
"cznesbit","CSC226-001-STADDON-S16",0.0147555425697117,-2.45032307545464,-4.19118327449142,2.20531619483515,-2.53472909421633,2.61585208631425,1.94432063559681,1.70420104232382
"pjayaku","CSC226-001-STADDON-S16",0.802727075207987,-3.48741898127872,-0.656057531433974,-0.843664436416341,1.70243981507416,-1.25019214059617,0.620971299907439,0.902292506783077
"smdavis7","CSC226-001-STADDON-S16",0.420373534155078,-2.64453082018838,0.487927416667886,-0.763760623754977,1.21089610401251,0.172276530085828,1.31901782804781,0.357580517384264
"machaffe","CSC226-001-STADDON-S16",0.845932087644884,-1.62479160329607,-0.756228722766914,1.56909153378827,-1.93420984891136,-0.0161601770767488,0.916462592629928,0.0170201324605037
"scmcmurr","CSC226-001-STADDON-S16",-7.65200700810176,-0.395006173054494,3.20393823087949,1.1305905033225,-3.69337559704525,-0.175237905631306,-0.104832239045584,3.87119549186107
"rjwoods3","CSC226-001-STADDON-S16",2.52420979157339,-2.13107449660988,-2.90088929112496,1.67305071394328,-2.65798707589837,-0.507472409252325,0.433878849211541,1.86769328828172
"ajpappas","CSC226-001-STADDON-S16",-1.85039823326562,-0.370356523250421,-2.00171746986383,0.533544629143748,0.523949038040259,-0.95498594421014,1.73119884522733,0.959321086083632
"thle","CSC226-001-STADDON-S16",2.55627645898264,-4.51382747105901,1.68061758123741,1.42901215940442,-0.203311790408055,-0.718506386337776,0.174829147674429,0.135738744606699
"wktaylo2","CSC226-001-STADDON-S16",-7.35680711744776,-0.590835059146021,-0.2631334869235,4.2498490532223,-1.85609029669921,-3.65842896906639,-2.62834525397147,-2.466387779571
"pdtrinh","CSC226-001-STADDON-S16",2.65868005725417,0.261970741058571,-0.439564708895138,0.115777236763436,-0.761181773638677,-1.19097200182142,0.124708256189226,1.33643101566864
"tvbarnet","CSC226-001-STADDON-S16",3.1079657582374,-0.612918313258955,-0.244213943529372,1.02139557805426,0.663190264611959,-0.0398244078105649,0.836410525936104,1.55533238280549
"ekducket","CSC226-001-STADDON-S16",5.15409590316976,-7.33362728053638,3.53157400799874,2.40575007900423,-0.0365788105991891,-1.97108165786339,-0.20322934085947,-1.49636620077876
"bchawkin","CSC226-001-STADDON-S16",0.581716615063132,0.154378916890516,-0.469299587018318,-0.572057431316367,2.02554369911577,-0.981138232801355,0.560965596867722,1.44836171487061
"msawada","CSC226-001-STADDON-S16",5.22381810980184,-7.19694910548283,-0.191674600024894,3.80980862875655,-2.24314895915596,-4.1571298262556,-1.60260392172692,0.781515579755911
"zjgiorda","CSC226-001-STADDON-S16",1.10230814513419,-1.27277397296962,1.33629993698595,0.110563304454797,-0.293329434618118,-0.733772093213287,-1.12009376414695,-1.1488605645479
"aeezhila","CSC226-001-STADDON-S16",4.74299134055312,-2.26597024519069,-0.929602647778154,0.344746608731835,1.1894033207486,-0.311078446263258,1.13364734928915,0.844785577127685
"nasnouwa","CSC226-001-STADDON-S16",2.60348279405096,-4.81612100722712,0.170798856828549,3.60777166654441,0.878521596959847,-0.0298925430606341,0.679637094589183,0.579990220924104
"hmpierce","CSC226-001-STADDON-S16",7.28017002934534,-4.83328537149424,-1.6470196375145,-1.53526522113554,-1.25758359611895,-0.80305264523556,0.492514330819203,1.10037675857442
"cmblank2","CSC226-001-STADDON-S16",-11.6975728889946,-1.55971977998485,-1.50662519319763,-1.65318618146907,1.5183941614546,-2.55834834225204,1.97428326714194,-0.909343507196396
"mhester3","CSC226-001-STADDON-S16",3.95809030738683,-3.9551500839604,0.0876887948105933,0.517636174635609,-1.41741136900377,1.06936871892901,1.97632370278477,0.618974501196614
"gsubram5","CSC226-001-STADDON-S16",1.89069288620941,-0.678023758561491,0.278737581502725,-0.193964529641329,2.51151083499714,-1.40874722959389,1.88379993716554,1.20789603326579
"rtquinn2","CSC226-001-STADDON-S16",2.78299803865034,-3.30723187801761,0.177007172214908,4.05616348148853,0.98266916787559,-2.29529936026813,-1.47865089058112,-0.133662853005297
"rbscott2","CSC226-001-STADDON-S16",3.3455570342058,-5.36875501981138,-2.85013897216864,-0.921692953914014,-1.26129764025344,-1.61284578931674,-1.79938880751754,0.869145045730916
"abkarche","CSC226-001-STADDON-S16",-9.57225752809781,0.886938060835429,-4.51477075019028,-1.86153483676902,1.78328925019655,-4.28285441603568,4.89469917186871,-0.0224189327914364
"ctmaynar","CSC226-001-STADDON-S16",4.68022769851107,0.275764540965039,-2.42237384541708,0.39339551857489,0.691750224872463,-0.825599206460539,0.174398478618462,0.985778449480464
"ztbrownl","CSC226-001-STADDON-S16",4.11954014241132,-0.457737832508111,-2.69455926673339,0.740546484645051,-0.182073639964663,-0.959584975092927,0.25188202107966,1.43748972064239
"anmodali","CSC226-001-STADDON-S16",-8.89748001442577,-1.17439248504982,-7.57835027183916,-0.791265002350471,2.25513259642288,-0.0334587244379451,0.263926528572331,-0.0502177333988057
"nagallo","CSC226-001-STADDON-S16",-1.99938167726998,1.23367137233144,-1.36799808182402,0.35924349926845,0.233464589726357,-1.27522057504312,-0.964089268088068,-0.544420139689287
"htyadon","CSC226-001-STADDON-S16",6.02758429737368,-1.02691618305001,-1.06892059083131,-0.0418114705467557,-0.762296141403496,-0.942548335981072,0.41048665271389,0.786648192567028
"nrsischo","CSC226-001-STADDON-S16",-1.23707803702571,-0.6876843513812,-0.524569730521122,-0.51062979211627,3.35396351717589,-1.3793830446228,2.11290566457997,0.0288687930519612
"tavanza2","CSC226-001-STADDON-S16",-1.37600949602011,-1.91155644593384,-3.42945260907776,2.51926425087153,1.37805629758138,3.28526730328249,1.91534272647257,-1.15727812887414
"ywang103","CSC226-001-STADDON-S16",4.12350577910826,-2.69167976296418,-0.233878361170132,-0.10196556834188,2.40546063707277,-1.07776955074325,1.66483416896969,1.09072400298181
"ealdama","CSC226-001-STADDON-S16",-5.77353236091181,1.8971282205614,3.1681770746578,0.246712457500208,0.757306136312853,-0.640230004973107,-0.764959511164831,-0.972515216485464
"lmmoland","CSC226-001-STADDON-S16",2.98640984321282,0.248648375678038,1.31737646040482,-0.0318847012228997,1.25225909599794,-0.221586731363539,-0.172674223990488,-1.06212273532194
"phgwynne","CSC226-001-STADDON-S16",1.43341930532657,4.01953861414589,-0.527257849023339,0.914967177348811,-1.38719902177894,-0.413758974035868,-1.02408706981194,-0.917600393131854
"ljvandep","CSC226-001-STADDON-S16",-2.29985195319452,1.78987079888888,-0.142641832125498,0.975339800313184,1.62461958835671,0.0895937817118578,-0.800488946165822,0.128736194599527
"rcquisto","CSC226-001-STADDON-S16",1.51993682105598,-0.87555702106145,-0.742112525881208,0.514364347548995,1.27176534694669,-0.0321204368912467,-0.954552133366951,0.142020300064866
"tlcheek","CSC226-001-STADDON-S16",2.74308958104044,0.947938300184378,1.13662870882543,1.04959645024028,-0.584264275163137,-0.531776642893787,-0.267564643801012,-1.07264677968554
"jmtimper","CSC226-001-STADDON-S16",-2.92898669251734,2.765851415791,-0.198638530381052,-0.301417858532172,0.528976269413632,-0.062058136035603,-2.13120253065842,-0.718513743547055
"maskelto","CSC226-001-STADDON-S16",-3.97957825596417,0.124204882602817,0.0664057677680831,-1.91354948847368,-0.0398869317247419,-0.558324753457413,0.771372083985821,0.312962979408796
"mdsonnen","CSC226-001-STADDON-S16",-0.274057549641529,0.546889411528338,4.25037085386966,-1.92550602849432,0.63532838628826,0.0145010449956677,0.585211269751375,0.636910788590995
"jhwooste","CSC226-001-STADDON-S16",-0.87097941121827,-1.89740449547817,3.77643098927426,-0.941365597659513,-1.90282673737676,-0.0570837788035401,-0.650910427882304,-0.121943518942064
"jtaboad","CSC226-001-STADDON-S16",-12.0928557916337,2.45487943749674,1.70523884018254,0.798697205453956,-1.26683532269953,-1.70686413593137,-0.860638906000578,-3.03446940945117
"ajsawyer","CSC226-001-STADDON-S16",0.60325292797105,-1.77243604445743,2.15259103507924,-0.48000546194419,-1.49104302246362,1.97773370582716,1.3528662346646,-2.7635704200479
"sdllewel","CSC226-001-STADDON-S16",0.214255330796728,2.0209538639688,1.40039081276495,0.3705426007507,-1.33480243733724,-1.10430046463108,-0.384321434068867,-0.556760334474596
"pfleimer","CSC226-001-STADDON-S16",-3.23137337543128,0.61517283162817,3.41665670522442,0.867300717167533,-0.409385711838814,1.42670770390525,-0.289699645920644,2.32054321107892
"bjyounce","CSC226-001-STADDON-S16",-0.735177599678614,2.71327051216552,-1.43451166607496,-0.101581414759229,1.47627017083509,1.13585191552995,0.00783328626970122,-0.106696007110772
"ampoe3","CSC226-001-STADDON-S16",-0.63578855107331,-2.55061517295324,-0.265034824009249,1.14137384404725,-0.139667266981177,2.87492436689372,1.60395000080327,-0.424299570156514
"mamajett","CSC226-001-STADDON-S16",1.27847553702895,1.5422840480626,0.382415541804766,-0.781028552820113,0.55209690020867,-0.243710571433342,-0.254543652461165,-2.26846235733293
"marora2","CSC226-001-STADDON-S16",-7.02655605075599,-2.09467788307238,-0.215154955695544,-2.76434772370758,-0.807557918563352,-0.134377875738556,-0.173187979419979,0.289036288372158
