"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"srritter","CSC226-001-STADDON-S16","Ensemble_Delay",2,-3.56938992378979,-0.121093491130121,0.451784604598169,-0.504537865117134,-1.62821813641412,0.0706691323419462,0.0521526531949862,-0.346263262220883
"srritter","CSC226-001-STADDON-S16","Ensemble_Delay",3,-3.13782864681417,-0.361170837277243,0.548969336412795,-1.33133071262019,-1.56123636750807,0.0721525103231294,-0.0311587129456272,-0.509800316742998
"srritter","CSC226-001-STADDON-S16","Ensemble_Delay",4,-2.51553568411523,-0.19463538586866,0.698791305281338,-1.41833159007754,-1.08365782109495,0.188273252096474,-0.0374862589019993,-0.682622997075119
"srritter","CSC226-001-STADDON-S16","Ensemble_Delay",5,-1.94951502905901,0.248914485848906,0.0434795548506407,-2.11748213984915,-1.07696900827598,0.305917500428025,0.138246920217374,-0.93895163155058
"srritter","CSC226-001-STADDON-S16","Ensemble_Delay",6,-0.564122592086659,0.557718651383061,-0.0447444604839554,-2.75480594185878,-1.02706386231296,0.400023018534966,0.266459773152228,-1.20617155413597
"ssganni","CSC226-001-STADDON-S16","Ensemble_Delay",1,-3.03207101658729,-2.36822475968635,1.62165020500599,-0.257101221719445,-0.810358888506336,-0.626443559986124,0.28388509681697,0.774594172402361
"ssganni","CSC226-001-STADDON-S16","Ensemble_Delay",2,-2.79492364560063,-2.33725264776888,1.74076375991974,-1.35213766382348,-1.12007366293212,-0.530244702412889,0.163851971663901,0.650087499008233
"ssganni","CSC226-001-STADDON-S16","Ensemble_Delay",3,-1.7665324161075,-2.48304066628078,1.65716364128635,-1.57945539796061,-0.802858387871245,-0.234833437414287,0.458669625642272,0.400638924335997
"ssganni","CSC226-001-STADDON-S16","Ensemble_Delay",4,-1.79748860896705,-2.48955927798074,1.50238733895032,-1.59461301741132,-0.732837713119818,-0.0669734974827272,0.448092779566508,0.304433712783565
"ssganni","CSC226-001-STADDON-S16","Ensemble_Delay",5,-0.838798433777035,-2.53633291762235,1.19667275526703,-2.3313613450289,-0.689326236970615,0.163960136849266,0.376890467811694,0.207168468818825
"ssganni","CSC226-001-STADDON-S16","Ensemble_Delay",6,-0.369714677064566,-2.5960838931415,1.28994440453082,-2.5196427759154,-0.723816842343272,0.209464943374345,0.381448848923943,0.16605779969078
"wjglas","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.03948421798715,-1.19331295877047,1.54618489715947,1.85367329275881,0.818533175448844,0.298544774234768,-0.294846996658853,-0.290659590236464
