"student","course","PC1","PC2","PC3","PC4"
"ndboard","CSC226-001-BARNES-F16",-2.06001725368261,0.195826973424735,-0.880518229053135,1.10962618590234
"pmocher","CSC226-002-BARNES-F16",3.23038647402387,1.76484569151564,0.212099168541884,-0.802806182889575
"ccrainea","CSC226-002-BARNES-F16",-2.54243214852508,0.603169546057537,1.0627755991265,0.298709089388098
"jipark","CSC226-001-BARNES-F16",5.50803674912601,4.65077199974094,-4.5963416979428,2.54028818786034
"agdavis5","CSC226-001-BARNES-F16",2.96273579083571,0.248464169501468,2.18661702296214,1.74034112430056
"cnkeesee","CSC226-002-BARNES-F16",-0.256209747753679,-0.783277451742081,-0.588943493881097,-1.09943785808539
"aphuggin","CSC226-001-BARNES-F16",-0.499752763092466,0.413958342503228,1.75508400484036,-0.84410680778769
"pkamala","CSC226-001-BARNES-F16",-2.46175269049143,-0.168904401286591,-0.760272094222324,1.02465994437539
"jmwhitta","CSC226-002-BARNES-F16",-3.25253469371128,-0.481751656613982,-0.439464392303705,-2.0607114318728
"tskropie","CSC226-002-BARNES-F16",-5.38290411945801,0.372787392259755,-1.51937798945665,0.873945033038988
"wjiang7","CSC226-002-BARNES-F16",2.70106601283776,-1.40266473720646,-1.02559778880334,-2.78566514109377
"jwjenni2","CSC226-002-BARNES-F16",0.848479086551347,-2.01254111048422,0.338673945394724,-2.2069517088992
"racavan2","CSC226-002-BARNES-F16",-0.760646068835023,0.374551228366274,-0.943639503627201,-0.0472782517971431
"dpelliot","CSC226-001-BARNES-F16",-0.240651448910813,-2.62866554559896,-1.19617319001143,-0.974237284064983
"dsmonaza","CSC226-002-BARNES-F16",4.47311160078211,-0.859001169368202,-0.158717581039259,1.6507488252333
"akgarcia","CSC226-002-BARNES-F16",2.78038288869847,-1.13660523884171,0.426089011054067,0.697905252287555
"anfisher","CSC226-001-BARNES-F16",-1.97157976279964,2.12649865599094,0.0174061944275395,-2.86745967690079
"aaltaf","CSC226-002-BARNES-F16",5.09252540784688,2.69739506748718,-0.383779470849122,1.12151487068962
"rjwoods4","CSC226-002-BARNES-F16",-2.43181292436232,4.02264534712641,1.34354820421658,-2.86710870456481
"ahchowdh","CSC226-001-BARNES-F16",3.13855945537903,1.06651735073083,-1.41357331162625,0.253437678100177
"acantre","CSC226-001-BARNES-F16",3.25351663716066,2.59266214610179,-0.712906809193365,-1.5588540831234
"hrgoldin","CSC226-002-BARNES-F16",0.885144636472853,-1.4211743263178,0.692272397669679,0.828260371454131
"crdurand","CSC226-001-BARNES-F16",0.0448269396717997,-0.190688284266421,0.613751346020163,1.49239503626459
"mklemons","CSC226-001-BARNES-F16",-1.83407086449659,-2.14384547122373,0.168491749189284,2.09355549747607
"jrticati","CSC226-001-BARNES-F16",2.42822189088168,-0.796220387910204,0.470128402713878,-1.37569643016937
"grbalsha","CSC226-002-BARNES-F16",1.49682103669784,2.89703675321064,2.58908784135223,-0.806067134701433
