"student","course","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"gsflinch","CSC226-002-BARNES-F15",-4.37208556508857,-1.26041928988369,1.56092414817172,-0.164028335728167,0.647786706358022,0.134155720281328,-0.935190417879754
"swmay","CSC226-002-BARNES-F15",0.965338033257464,-2.72088472135357,0.710619581866246,0.0347298484609267,0.279189800213728,0.26809383531621,0.0976171384649649
"allee5","CSC226-002-BARNES-F15",-3.72611488197527,-0.772097071393458,1.03636171822645,0.21876431232721,-0.188483406514281,0.0637132929670737,-0.0826840053243568
"csdennis","CSC226-002-BARNES-F15",8.80424955463391,0.533557825492481,3.99341087279989,-1.24097553892581,1.08467973976723,-0.184880025897318,1.79531784609544
"mehess","CSC226-002-BARNES-F15",-4.46526082565571,2.88930021115282,1.65936178121271,0.742884254886466,-0.575517827776691,-2.64338202313738,-0.563713446969994
"ajschofi","CSC226-001-BITZER-F15",1.7675137946789,-0.505037014181514,2.92634961790691,-2.42261658171295,-0.723349263906197,1.0177338998272,-1.1254033006057
"jpsarle","CSC226-002-BARNES-F15",2.87455394001482,-0.237022263520161,2.80266554142376,-2.07244283838703,1.32142788506338,-2.93968175737264,0.258179968405989
"pkhanal","CSC226-002-BARNES-F15",5.60618811513597,-0.773147812282995,-1.6080728362117,2.67941190934239,-0.504301689975822,-1.66098832982485,0.985267841636947
"vtrenich","CSC226-001-BITZER-F15",-5.13661465609763,1.33953192948425,1.19616960842814,1.26899411579103,1.47556572735876,-2.08612023283978,0.954586747328727
"rmstrube","CSC226-001-BITZER-F15",0.344390528312615,-2.00715371901483,0.497863428109093,0.522864115405956,-1.19867577306639,0.0785190995834826,0.449066459464423
"pttemple","CSC226-002-BARNES-F15",-2.67742290814128,-1.10640118799962,0.51753870452079,0.795394066684447,-0.769718085433292,-0.217318622741173,0.597427757945678
"nvarma","CSC226-002-BARNES-F15",1.98518907571755,5.95913805101095,0.962504467513831,-0.173395196390118,2.9865888490052,1.67059599760442,-1.13725206449721
"ranewcom","CSC226-001-BITZER-F15",-1.82781725806258,-0.399262532091663,-1.80993675533757,0.647961083135751,1.79234641700068,0.48005962734248,-0.715858425532064
"mmmasent","CSC226-001-BITZER-F15",-5.17895167460103,-1.67108949862945,1.39050332459811,1.43300090596308,0.11763530734168,-0.434149266267645,0.256298932293225
"chood2","CSC226-002-BARNES-F15",0.839908148076831,-1.87014150075029,-0.700370575017683,-0.278454011268729,0.189460180718697,0.756075705836553,0.605231390463228
"rpgrange","CSC226-002-BARNES-F15",-4.66448332076841,-1.84260396011109,-0.0268303239796943,0.365955978522417,-0.69602469688709,-0.00727186703262835,-0.449755605454605
"jteasow","CSC226-001-BITZER-F15",-1.00546823232363,0.455008827640391,-0.918287716769246,0.658213220610653,-0.760166317277773,-0.13671909861904,0.0835987657942697
