"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"ervaugha","CSC226-002-BARNES-F15","Cond 4",5,6.54146344597261,-0.857784322898739,-2.59740462526188,1.52019436736798,6.60584705529542,-2.9281111058368,-0.180527238057336
"ervaugha","CSC226-002-BARNES-F15","Cond 4",6,7.27505493314327,-0.886274146166201,-2.45448731564484,1.13330989209972,6.90940296235128,-2.62134794321891,0.0292123487046343
"agamin","CSC226-001-BITZER-F15","Cond 4",1,-3.36120453702991,-5.8413621860777,-4.23234214807356,1.08235512237634,-1.16528820904308,0.232350545230534,1.44929757875916
"agamin","CSC226-001-BITZER-F15","Cond 4",2,-1.22556090080278,-2.7550006689446,-0.708528142826729,0.436477250265089,-0.185751546018091,-0.254584358104685,-0.689538607689054
"agamin","CSC226-001-BITZER-F15","Cond 4",3,-0.152515507748889,-1.98792544986449,-0.53277275742601,0.247475752713282,0.232181497127221,-0.226215772726036,-0.755725582257607
"agamin","CSC226-001-BITZER-F15","Cond 4",4,1.5458142911245,-1.40090134103908,-0.505466364287577,-0.0200133740948788,0.838893311243883,0.00708527505179442,-1.04572362945838
"agamin","CSC226-001-BITZER-F15","Cond 4",5,2.8620089271539,-1.19194475584728,-0.7457708367559,-0.599283442178715,1.24183804366649,-0.188224948490942,-0.643969731178586
"agamin","CSC226-001-BITZER-F15","Cond 4",6,3.69865109866087,-0.956375783897205,-0.853875893821885,-0.814169292680717,1.23839359766362,-0.219240946714012,-0.54082576361128
"ajshryoc","CSC226-002-BARNES-F15","Cond 4",1,-3.46796071093646,-1.77605990230258,1.54181227358035,0.923513400543994,-1.51617499242637,-0.424727324969501,0.31774667616852
"ajshryoc","CSC226-002-BARNES-F15","Cond 4",2,2.7441783924863,0.466828954290799,-0.11151319677815,0.259346057782954,-2.261804804478,-0.0628261226767793,0.284210144761333
"ajshryoc","CSC226-002-BARNES-F15","Cond 4",3,3.78777084352397,0.615190369293151,-0.133475760948314,-0.274198201518519,-2.01279097667753,-0.191461566629571,0.480155945588386
"ajshryoc","CSC226-002-BARNES-F15","Cond 4",4,4.3432020450317,0.630065929959858,-0.0176537723969982,-0.560895482157976,-1.75821411234661,-0.22286423182401,0.610052559553084
"ajshryoc","CSC226-002-BARNES-F15","Cond 4",5,5.30216627180025,0.733014327290546,0.0591249004458157,-1.06943514905512,-1.70128421103688,-0.222053478066541,0.740247838345942
"ajshryoc","CSC226-002-BARNES-F15","Cond 4",6,5.71675572635222,0.829173864281978,0.0936137460562534,-1.24413117865755,-1.65590902871619,-0.244720840203659,0.820059793982857
"jabeichl","CSC226-002-BARNES-F15","Cond 4",1,-4.0066333495453,-1.60922130368147,-4.49932137438466,0.666553943615709,-0.257309552413498,2.22433774685797,0.0458618887901582
"jabeichl","CSC226-002-BARNES-F15","Cond 4",2,-1.10209238019645,0.0690653895102758,-1.15997659212232,0.216199314794664,-0.330825361886729,0.980384474038214,-1.58501055514646
